Datum,Niederschlag,Month,Niederschlag_Lag_1,Niederschlag_Lag_2,Niederschlag_Lag_3,Niederschlag_Lag_7,Niederschlag_Rolling_Mean_3d,Niederschlag_Rolling_Sum_3d,Niederschlag_Rolling_Mean_7d,Niederschlag_Rolling_Sum_7d,Niederschlag_Rolling_Mean_14d,Niederschlag_Rolling_Sum_14d,Has_Rain,Heavy_Rain_Day,Year,DayOfWeek,IsWeekend,Rain_Category_Extreme_Rain,Rain_Category_Heavy_Rain,Rain_Category_Light_Rain,Rain_Category_Moderate_Rain,Rain_Category_No_Rain,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2018-03-03,0.0,3,0.5,0.3,0.0,0.9,0.26666666666666905,0.8000000000000071,0.1428571428571426,0.9999999999999982,0.2357142857142862,3.300000000000007,0,0,2018,5,1,False,False,False,False,True,False,True,False,False
2018-03-04,2.2,3,0.0,0.5,0.3,0.0,0.9000000000000025,2.7000000000000073,0.4571428571428569,3.1999999999999984,0.39285714285714335,5.500000000000007,1,0,2018,6,1,False,False,True,False,False,False,True,False,False
2018-03-05,0.0,3,2.2,0.0,0.5,0.0,0.7333333333333357,2.2000000000000073,0.4571428571428569,3.1999999999999984,0.39285714285714335,5.500000000000007,0,0,2018,0,0,False,False,False,False,True,False,True,False,False
2018-03-06,0.0,3,0.0,2.2,0.0,0.2,0.7333333333333357,2.2000000000000073,0.4285714285714283,2.9999999999999982,0.39285714285714335,5.500000000000007,0,0,2018,1,0,False,False,False,False,True,False,True,False,False
2018-03-07,6.6,3,0.0,0.0,2.2,0.0,2.2000000000000024,6.600000000000007,1.3714285714285712,9.599999999999998,0.7857142857142863,11.000000000000007,1,0,2018,2,0,False,False,False,True,False,False,True,False,False
2018-03-08,5.5,3,6.6,0.0,0.0,0.3,4.033333333333336,12.100000000000007,2.114285714285714,14.799999999999997,1.1571428571428577,16.200000000000006,1,0,2018,3,0,False,False,False,True,False,False,True,False,False
2018-03-09,0.3,3,5.5,6.6,0.0,0.5,4.1333333333333355,12.400000000000007,2.0857142857142854,14.599999999999998,1.178571428571429,16.500000000000007,1,0,2018,4,0,False,False,True,False,False,False,True,False,False
2018-03-10,6.7,3,0.3,5.5,6.6,0.0,4.166666666666669,12.500000000000007,3.0428571428571423,21.299999999999997,1.5928571428571432,22.300000000000004,1,0,2018,5,1,False,False,False,True,False,False,True,False,False
2018-03-11,0.6,3,6.7,0.3,5.5,2.2,2.5333333333333354,7.600000000000007,2.814285714285714,19.7,1.6357142857142861,22.900000000000006,1,0,2018,6,1,False,False,True,False,False,False,True,False,False
2018-03-12,7.1,3,0.6,6.7,0.3,0.0,4.800000000000002,14.400000000000006,3.8285714285714283,26.799999999999997,2.1428571428571432,30.000000000000007,1,0,2018,0,0,False,False,False,True,False,False,True,False,False
2018-03-13,0.3,3,7.1,0.6,6.7,0.0,2.666666666666669,8.000000000000007,3.871428571428571,27.099999999999998,2.1500000000000004,30.100000000000005,1,0,2018,1,0,False,False,True,False,False,False,True,False,False
2018-03-14,0.0,3,0.3,7.1,0.6,6.6,2.466666666666669,7.400000000000007,2.9285714285714284,20.5,2.1500000000000004,30.100000000000005,0,0,2018,2,0,False,False,False,False,True,False,True,False,False
2018-03-15,0.0,3,0.0,0.3,7.1,5.5,0.10000000000000236,0.3000000000000071,2.142857142857143,14.999999999999998,2.128571428571429,29.800000000000004,0,0,2018,3,0,False,False,False,False,True,False,True,False,False
2018-03-16,0.4,3,0.0,0.0,0.3,0.3,0.13333333333333572,0.4000000000000071,2.1571428571428566,15.099999999999996,2.121428571428572,29.700000000000006,1,0,2018,4,0,False,False,True,False,False,False,True,False,False
2018-03-17,0.0,3,0.4,0.0,0.0,6.7,0.13333333333333572,0.4000000000000071,1.1999999999999995,8.399999999999997,2.121428571428572,29.700000000000006,0,0,2018,5,1,False,False,False,False,True,False,True,False,False
2018-03-18,0.0,3,0.0,0.4,0.0,0.6,0.13333333333333572,0.4000000000000071,1.114285714285714,7.799999999999998,1.9642857142857149,27.500000000000007,0,0,2018,6,1,False,False,False,False,True,False,True,False,False
2018-03-19,0.0,3,0.0,0.0,0.4,7.1,0.0,0.0,0.09999999999999974,0.6999999999999982,1.9642857142857149,27.500000000000007,0,0,2018,0,0,False,False,False,False,True,False,True,False,False
2018-03-20,0.0,3,0.0,0.0,0.0,0.3,0.0,0.0,0.05714285714285689,0.39999999999999825,1.9642857142857149,27.500000000000007,0,0,2018,1,0,False,False,False,False,True,False,True,False,False
2018-03-21,2.3,3,0.0,0.0,0.0,0.0,0.7666666666666689,2.300000000000007,0.3857142857142854,2.699999999999998,1.6571428571428573,23.200000000000003,1,0,2018,2,0,False,False,True,False,False,False,True,False,False
